"","X","condition","img_side_order","trial_no","img_pair_name","trial_type","target_audio_type","target_audio","left_img","right_img","clicked_img","start_time","current_windowW","current_windowH","end_pre1_time","end_pre2_time","end_img_reset_time","end_contrast_time","start_event_time","end_event_time","end_trial_time","start_event_timept","end_event_timept","time","x","y","Browser","OS","screenH","screenW","windowH","windowW","imageH","imageW","language","age","gender","eyesight","eyesight_task","comments","accuracy","previous_accuracy_attempts","time_in_minutes","participant_id","exp.clicked","trials_completed","data_point_no","starting_time","time_since_trial_start","trial_stage","img1_left_x","img1_right_x","top_y","bottom_y","img2_left_x","img2_right_x","look_left_img","look_right_img","action_img","look_action_img","look_object_img","frame_start","frame_end","novel_word_end","trial_frame_start","trial_frame_end","previous_look_action_img","previous_look_object_img","trial_name","time_since_disambig","pre_frame_prop","post_frame_prop","trial_diff_prop_action","subj_diff_prop_action","girls_end"
"210",626507,"noun","img_side_order2",11,"pair9","novel","novel","dax","dax_verb","dax_noun","none",1597886121991,1440,821,5059,10087,11118,17145,18166,26186,1597886152585,1597886140157,1597886148177,451142.305000045,993,465,"Chrome","Mac",900,1440,821,1440,288,400,"English",32,"Male","nearsighted","glasses",NA,79,"[]",9.72003333333333,474918,NA,12,961,432863.305000006,18279.0000000386,"event",-70,630,156,744,810,1510,FALSE,TRUE,"left",FALSE,TRUE,2016,2497,3354,20182,20663,FALSE,FALSE,"Trial 11",-1902.9999999614,0.722222222222222,0.6,-0.122222222222222,0.038348054645588,476.918316831683
"211",627878,"noun","img_side_order2",12,"pair11","novel","novel","smick","smick_noun","smick_verb","smick_noun",1597886152586,1440,821,5043,10064,11094,17123,18153,26183,1597886186370,1597886170739,1597886178769,481617.194999999,851,376,"Chrome","Mac",900,1440,821,1440,288,400,"English",32,"Male","nearsighted","glasses",NA,79,"[]",9.72003333333333,474918,NA,12,957,463453.720000049,18163.4749999503,"event",-70,630,156,744,810,1510,FALSE,TRUE,"right",TRUE,FALSE,1987,2485,3261,20140,20638,TRUE,FALSE,"Trial 12",-1976.5250000497,0.222222222222222,0.346153846153846,0.123931623931624,0.038348054645588,476.918316831683
"212",631635,"baseline","img_side_order2",9,"pair9","novel","novel","dax","dax_verb","dax_noun","none",1597881584284,1366,657,5176,10253,11377,17495,18587,26689,1597881612178,1597881602871,1597881610973,780441.114999994,1140,401,"Chrome","Windows",768,1366,657,1366,288,400,"English",46,"Female","nearsighted","neither",NA,72,"[]",15.5580166666667,500553,NA,12,267,761787.680000009,18653.4349999856,"event",-107,593,90,678,773,1473,FALSE,TRUE,"left",FALSE,TRUE,2016,2497,3354,20603,21084,FALSE,TRUE,"Trial 9",-1949.5650000144,0.25,0.349206349206349,0.0992063492063492,-0.0953412882451617,476.918316831683
"213",632012,"baseline","img_side_order2",10,"pair12","novel","novel","vash","vash_noun","vash_verb","none",1597881612180,1366,657,5161,10295,11430,17517,18595,26680,1597881640274,1597881630775,1597881638860,808339.97999999,1346,394,"Chrome","Windows",768,1366,657,1366,288,400,"English",46,"Female","nearsighted","neither",NA,72,"[]",15.5580166666667,500553,NA,12,263,789689.435000008,18650.5449999822,"event",-107,593,90,678,773,1473,FALSE,TRUE,"right",TRUE,FALSE,1994,2472,3275,20589,21067,TRUE,FALSE,"Trial 10",-1938.4550000178,0.954545454545455,0.946666666666667,-0.00787878787878793,-0.0953412882451617,476.918316831683
"214",632396,"baseline","img_side_order2",11,"pair10","novel","novel","nup","nup_verb","nup_noun","none",1597881640276,1366,657,5155,10293,11416,17517,18626,26739,1597881667801,1597881658902,1597881667015,836550.084999995,544,335,"Chrome","Windows",768,1366,657,1366,288,400,"English",46,"Female","nearsighted","neither",NA,72,"[]",15.5580166666667,500553,NA,12,268,817786.109999986,18763.9750000089,"event",-107,593,90,678,773,1473,TRUE,FALSE,"left",TRUE,FALSE,1992,2443,2996,20618,21069,FALSE,FALSE,"Trial 11",-1854.0249999911,0.952380952380952,0.53448275862069,-0.417898193760263,-0.0953412882451617,476.918316831683
"215",632779,"baseline","img_side_order2",12,"pair11","novel","novel","smick","smick_noun","smick_verb","smick_verb",1597881667803,1366,657,5216,10307,11387,17468,18549,26655,1597881700809,1597881686352,1597881694458,863985.364999971,1380,414,"Chrome","Windows",768,1366,657,1366,288,400,"English",46,"Female","nearsighted","neither",NA,72,"[]",15.5580166666667,500553,NA,12,269,845367.889999994,18617.4749999773,"event",-107,593,90,678,773,1473,FALSE,TRUE,"right",TRUE,FALSE,1987,2485,3261,20536,21034,TRUE,FALSE,"Trial 12",-1918.5250000227,1,0.945205479452055,-0.0547945205479452,-0.0953412882451617,476.918316831683
"216",645678,"baseline","img_side_order1",9,"pair9","novel","novel","dax","dax_verb","dax_noun","none",1598045303331,1440,821,5044,10071,11103,17120,18143,26167,1598045331492,1598045321474,1598045329498,366224.740000005,610,707,"Chrome","Mac",900,1440,821,1440,288,400,"English",18,"Other","none","neither",NA,72,"[]",8.41303333333333,507581,NA,12,1045,348070.780000009,18153.959999996,"event",-70,630,156,744,810,1510,TRUE,FALSE,"left",TRUE,FALSE,2016,2497,3354,20159,20640,FALSE,FALSE,"Trial 9",-2005.040000004,0.833333333333333,0.995475113122172,0.162141779788839,0.138062917474682,476.918316831683
"217",647199,"baseline","img_side_order1",10,"pair10","novel","novel","nup","nup_noun","nup_verb","none",1598045331493,1440,821,5047,10075,11094,17112,18131,26141,1598045359400,1598045349624,1598045357634,394405.709999992,-48,674,"Chrome","Mac",900,1440,821,1440,288,400,"English",18,"Other","none","neither",NA,72,"[]",8.41303333333333,507581,NA,12,1053,376255.884999991,18149.8250000004,"event",-70,630,156,744,810,1510,TRUE,FALSE,"right",FALSE,TRUE,1992,2443,2996,20123,20574,FALSE,TRUE,"Trial 10",-1973.1749999996,0,0.39010989010989,0.39010989010989,0.138062917474682,476.918316831683
"218",648722,"baseline","img_side_order1",11,"pair12","novel","novel","vash","vash_verb","vash_noun","none",1598045359401,1440,821,5055,10087,11114,17144,18171,26191,1598045387132,1598045377572,1598045385592,422348.770000011,19,633,"Chrome","Mac",900,1440,821,1440,288,400,"English",18,"Other","none","neither",NA,72,"[]",8.41303333333333,507581,NA,12,1060,404170.370000007,18178.4000000043,"event",-70,630,156,744,810,1510,TRUE,FALSE,"left",TRUE,FALSE,1994,2472,3275,20165,20643,TRUE,FALSE,"Trial 11",-1986.5999999957,1,1,0,0.138062917474682,476.918316831683
"219",650247,"baseline","img_side_order1",12,"pair11","novel","novel","smick","smick_noun","smick_verb","smick_verb",1598045387133,1440,821,5037,10048,11069,17075,18097,26138,1598045420868,1598045405230,1598045413271,450225.910000008,553,638,"Chrome","Mac",900,1440,821,1440,288,400,"English",18,"Other","none","neither",NA,72,"[]",8.41303333333333,507581,NA,12,1061,431899.654999987,18326.2550000218,"event",-70,630,156,744,810,1510,TRUE,FALSE,"right",FALSE,TRUE,1987,2485,3261,20084,20582,FALSE,FALSE,"Trial 12",-1757.7449999782,0,0,0,0.138062917474682,476.918316831683
"220",661655,"noun","img_side_order2",9,"pair11","novel","novel","smick","smick_verb","smick_noun","none",1597979323931,1440,789,5047,10076,11112,17147,18170,26204,1597979351896,1597979342101,1597979350135,327954.245000001,1424,344,"Chrome","Mac",900,1440,701,1440,288,400,"English",44,"Female","nearsighted","contacts",NA,78,"[]",7.83931666666667,516750,NA,12,894,309783.119999978,18171.1250000226,"event",-70,630,156,744,810,1510,FALSE,TRUE,"left",FALSE,TRUE,1987,2485,3261,20157,20655,FALSE,TRUE,"Trial 9",-1985.8749999774,0,0.142348754448399,0.142348754448399,-0.179206024449012,476.918316831683
"221",662942,"noun","img_side_order2",10,"pair10","novel","novel","nup","nup_noun","nup_verb","none",1597979351898,1440,789,5045,10077,11104,17141,18165,26188,1597979380176,1597979370063,1597979378086,355956.479999993,536,451,"Chrome","Mac",900,1440,701,1440,288,400,"English",44,"Female","nearsighted","contacts",NA,78,"[]",7.83931666666667,516750,NA,12,895,337751.359999995,18205.1199999987,"event",-70,630,156,744,810,1510,TRUE,FALSE,"right",FALSE,TRUE,1992,2443,2996,20157,20608,FALSE,FALSE,"Trial 10",-1951.8800000013,0.746666666666667,0.488888888888889,-0.257777777777778,-0.179206024449012,476.918316831683
"222",664228,"noun","img_side_order2",11,"pair9","novel","novel","dax","dax_verb","dax_noun","none",1597979380176,1440,789,5060,10096,11123,17145,18178,26210,1597979408041,1597979398354,1597979406386,384223.264999979,1468,358,"Chrome","Mac",900,1440,701,1440,288,400,"English",44,"Female","nearsighted","contacts",NA,78,"[]",7.83931666666667,516750,NA,12,897,366028.714999993,18194.5499999856,"event",-70,630,156,744,810,1510,FALSE,TRUE,"left",FALSE,TRUE,2016,2497,3354,20194,20675,FALSE,TRUE,"Trial 11",-1999.4500000144,0.885057471264368,0.703971119133574,-0.181086352130794,-0.179206024449012,476.918316831683
"223",665515,"noun","img_side_order2",12,"pair12","novel","novel","vash","vash_noun","vash_verb","vash_noun",1597979408042,1440,789,5050,10053,11090,17112,18151,26179,1597979438101,1597979426193,1597979434221,412066.889999987,370,475,"Chrome","Mac",900,1440,701,1440,288,400,"English",44,"Female","nearsighted","contacts",NA,78,"[]",7.83931666666667,516750,NA,12,892,393896.714999981,18170.1750000065,"event",-70,630,156,744,810,1510,TRUE,FALSE,"right",FALSE,TRUE,1994,2472,3275,20145,20623,FALSE,TRUE,"Trial 12",-1974.8249999935,0.526315789473684,0.106007067137809,-0.420308722335875,-0.179206024449012,476.918316831683
"224",674644,"noun","img_side_order2",9,"pair11","novel","novel","smick","smick_verb","smick_noun","none",1597975574383,1280,643,5068,10196,11229,17287,18325,26356,1597975603562,1597975592708,1597975600739,388751.655,1101,455,"Chrome","Mac",800,1280,643,1280,288,400,"English",33,"Female","none","neither","No comments",75,"[]",9.5016,526285,NA,12,706,370400.980000006,18350.6749999943,"event",-150,550,106,694,730,1430,FALSE,TRUE,"left",FALSE,TRUE,1987,2485,3261,20312,20810,FALSE,TRUE,"Trial 9",-1961.3250000057,0.657894736842105,0.0714285714285714,-0.586466165413534,-0.253656680463359,476.918316831683
"225",675666,"noun","img_side_order2",10,"pair9","novel","novel","dax","dax_noun","dax_verb","none",1597975603562,1280,643,5116,10165,11194,17216,18260,26295,1597975631021,1597975621822,1597975629857,417891.315000001,444,271,"Chrome","Mac",800,1280,643,1280,288,400,"English",33,"Female","none","neither","No comments",75,"[]",9.5016,526285,NA,12,705,399609.565000006,18281.7499999946,"event",-150,550,106,694,730,1430,TRUE,FALSE,"right",FALSE,TRUE,2016,2497,3354,20276,20757,FALSE,FALSE,"Trial 10",-1994.2500000054,0.40625,0.142222222222222,-0.264027777777778,-0.253656680463359,476.918316831683
"226",676684,"noun","img_side_order2",11,"pair10","novel","novel","nup","nup_verb","nup_noun","none",1597975631022,1280,643,5059,10090,11131,17152,18202,26222,1597975658384,1597975649224,1597975657244,445263.255000005,467,538,"Chrome","Mac",800,1280,643,1280,288,400,"English",33,"Female","none","neither","No comments",75,"[]",9.5016,526285,NA,12,711,427043.985000004,18219.2700000014,"event",-150,550,106,694,730,1430,TRUE,FALSE,"left",TRUE,FALSE,1992,2443,2996,20194,20645,TRUE,FALSE,"Trial 11",-1974.7299999986,0.573529411764706,0.431718061674009,-0.141811350090697,-0.253656680463359,476.918316831683
"227",677708,"noun","img_side_order2",12,"pair12","novel","novel","vash","vash_noun","vash_verb","vash_noun",1597975658385,1280,643,5078,10177,11221,17283,18344,26369,1597975690563,1597975676729,1597975684754,473066.200000001,545,420,"Chrome","Mac",800,1280,643,1280,288,400,"English",33,"Female","none","neither","No comments",75,"[]",9.5016,526285,NA,12,719,454440.970000003,18625.2299999978,"event",-150,550,106,694,730,1430,TRUE,FALSE,"right",FALSE,TRUE,1994,2472,3275,20338,20816,FALSE,FALSE,"Trial 12",-1712.7700000022,0.25,0.227678571428571,-0.0223214285714286,-0.253656680463359,476.918316831683
"228",687935,"verb","img_side_order2",9,"pair12","novel","novel","vash","vash_verb","vash_noun","none",1597963793251,1600,749,5062,10124,11160,17203,18238,26278,1597963821904,1597963811489,1597963819529,445892.379999976,904,461,"Chrome","Windows",900,1600,749,1600,288,400,"english",18,"Other","nearsighted","neither",NA,54,"[]",9.97803333333333,528062,NA,12,669,427649.394999957,18242.985000019,"event",10,710,156,744,890,1590,FALSE,TRUE,"left",FALSE,TRUE,1994,2472,3275,20232,20710,FALSE,TRUE,"Trial 9",-1989.014999981,0.442622950819672,0.828729281767956,0.386106330948284,0.076184140570482,476.918316831683
"229",689129,"verb","img_side_order2",10,"pair11","novel","novel","smick","smick_noun","smick_verb","none",1597963821904,1600,749,5069,10104,11131,17173,18194,26237,1597963849185,1597963840098,1597963848141,474513.735000044,964,589,"Chrome","Windows",900,1600,749,1600,288,400,"english",18,"Other","nearsighted","neither",NA,54,"[]",9.97803333333333,528062,NA,12,828,456301.384999999,18212.3500000452,"event",10,710,156,744,890,1590,FALSE,TRUE,"right",TRUE,FALSE,1987,2485,3261,20181,20679,TRUE,FALSE,"Trial 10",-1968.6499999548,0.901639344262295,0.769230769230769,-0.132408575031526,0.076184140570482,476.918316831683
"230",690325,"verb","img_side_order2",11,"pair10","novel","novel","nup","nup_verb","nup_noun","none",1597963849186,1600,749,5052,10075,11098,17137,18179,26202,1597963876958,1597963867365,1597963875388,501838.19499996,251,380,"Chrome","Windows",900,1600,749,1600,288,400,"english",18,"Other","nearsighted","neither",NA,54,"[]",9.97803333333333,528062,NA,12,830,483579.939999967,18258.2549999934,"event",10,710,156,744,890,1590,TRUE,FALSE,"left",TRUE,FALSE,1992,2443,2996,20171,20622,FALSE,FALSE,"Trial 11",-1912.7450000066,1,0.94475138121547,-0.0552486187845304,0.076184140570482,476.918316831683
