"","timebin","condition","timebin_prop_action","girls_end","novel_word_end"
"121",0,"baseline",0.552631578947368,476.998091889458,1224.15567180499
"122",0,"noun",0.540229885057471,476.998091889458,1224.15567180499
"123",0,"verb",0.565217391304348,476.998091889458,1224.15567180499
"124",50,"baseline",0.56,476.998091889458,1224.15567180499
"125",50,"noun",0.535714285714286,476.998091889458,1224.15567180499
"126",50,"verb",0.582089552238806,476.998091889458,1224.15567180499
"127",100,"baseline",0.545454545454545,476.998091889458,1224.15567180499
"128",100,"noun",0.5,476.998091889458,1224.15567180499
"129",100,"verb",0.589041095890411,476.998091889458,1224.15567180499
"130",150,"baseline",0.532467532467532,476.998091889458,1224.15567180499
"131",150,"noun",0.476744186046512,476.998091889458,1224.15567180499
"132",150,"verb",0.597014925373134,476.998091889458,1224.15567180499
"133",200,"baseline",0.519480519480519,476.998091889458,1224.15567180499
"134",200,"noun",0.494117647058824,476.998091889458,1224.15567180499
"135",200,"verb",0.614285714285714,476.998091889458,1224.15567180499
"136",250,"baseline",0.533333333333333,476.998091889458,1224.15567180499
"137",250,"noun",0.506024096385542,476.998091889458,1224.15567180499
"138",250,"verb",0.614285714285714,476.998091889458,1224.15567180499
"139",300,"baseline",0.519480519480519,476.998091889458,1224.15567180499
"140",300,"noun",0.535714285714286,476.998091889458,1224.15567180499
"141",300,"verb",0.63013698630137,476.998091889458,1224.15567180499
"142",350,"baseline",0.540540540540541,476.998091889458,1224.15567180499
"143",350,"noun",0.5,476.998091889458,1224.15567180499
"144",350,"verb",0.628571428571429,476.998091889458,1224.15567180499
"145",400,"baseline",0.539473684210526,476.998091889458,1224.15567180499
"146",400,"noun",0.517647058823529,476.998091889458,1224.15567180499
"147",400,"verb",0.643835616438356,476.998091889458,1224.15567180499
"148",450,"baseline",0.541666666666667,476.998091889458,1224.15567180499
"149",450,"noun",0.511904761904762,476.998091889458,1224.15567180499
"150",450,"verb",0.591549295774648,476.998091889458,1224.15567180499
"151",500,"baseline",0.526315789473684,476.998091889458,1224.15567180499
"152",500,"noun",0.523809523809524,476.998091889458,1224.15567180499
"153",500,"verb",0.6,476.998091889458,1224.15567180499
"154",550,"baseline",0.5,476.998091889458,1224.15567180499
"155",550,"noun",0.51219512195122,476.998091889458,1224.15567180499
"156",550,"verb",0.588235294117647,476.998091889458,1224.15567180499
"157",600,"baseline",0.506493506493506,476.998091889458,1224.15567180499
"158",600,"noun",0.528735632183908,476.998091889458,1224.15567180499
"159",600,"verb",0.583333333333333,476.998091889458,1224.15567180499
"160",650,"baseline",0.48,476.998091889458,1224.15567180499
"161",650,"noun",0.529411764705882,476.998091889458,1224.15567180499
"162",650,"verb",0.579710144927536,476.998091889458,1224.15567180499
"163",700,"baseline",0.493827160493827,476.998091889458,1224.15567180499
"164",700,"noun",0.534883720930233,476.998091889458,1224.15567180499
"165",700,"verb",0.585714285714286,476.998091889458,1224.15567180499
"166",750,"baseline",0.475,476.998091889458,1224.15567180499
"167",750,"noun",0.542168674698795,476.998091889458,1224.15567180499
"168",750,"verb",0.558823529411765,476.998091889458,1224.15567180499
