"","subid","uuid","gender","trial_no","condition","test_trial","date_completed","age_in_weeks","exp_start","trial_duration","trial_start","trial_end","trial_start_video","trial_end_video","noun_image","noun_image_position","verb_image","verb_image_position","trial_audio"
"75","38832","853eb58a-1f1d-4842-9e62-84ecad60c6a3","m",11,"noun","91-test-trial-event-11","2021-03-19",1110,2021-08-19 11:27:47,8.016,2021-08-19 11:33:26,2021-08-19 11:33:34,338967.000007629,346968.000173569,"nup_noun","left","nup_verb","right","nup"
"76","38832","853eb58a-1f1d-4842-9e62-84ecad60c6a3","m",12,"noun","98-test-trial-event-12","2021-03-19",1110,2021-08-19 11:27:47,8.02,2021-08-19 11:33:54,2021-08-19 11:34:02,367586.000204086,375588.000059128,"smick_noun","right","smick_verb","left","smick"
"77","38842","4744a52c-e33c-4c62-a0e0-c6540d305a38","m",9,"verb","76-test-trial-event-9","2021-03-19",1380,2021-08-19 13:19:29,8.033,2021-08-19 13:24:12,2021-08-19 13:24:20,283050.000190735,291054.000139236,"dax_noun","right","dax_verb","left","dax"
"78","38842","4744a52c-e33c-4c62-a0e0-c6540d305a38","m",10,"verb","83-test-trial-event-10","2021-03-19",1380,2021-08-19 13:19:29,8.027,2021-08-19 13:24:41,2021-08-19 13:24:49,312630.000114441,320632.000207901,"vash_noun","right","vash_verb","left","vash"
"79","38842","4744a52c-e33c-4c62-a0e0-c6540d305a38","m",11,"verb","91-test-trial-event-11","2021-03-19",1380,2021-08-19 13:19:29,8.035,2021-08-19 13:25:17,2021-08-19 13:25:26,348683.000087738,356692.000150681,"nup_noun","left","nup_verb","right","nup"
"80","38842","4744a52c-e33c-4c62-a0e0-c6540d305a38","m",12,"verb","98-test-trial-event-12","2021-03-19",1380,2021-08-19 13:19:29,8.025,2021-08-19 13:25:47,2021-08-19 13:25:55,377940.00005722,385943.000078201,"smick_noun","right","smick_verb","left","smick"
"81","38844","f3fa1f34-1524-4020-995e-ba49ee6cbd91","m",9,"verb","76-test-trial-event-9","2021-03-19",1920,2021-08-19 13:30:04,8.022,2021-08-19 13:34:46,2021-08-19 13:34:54,282338.999986649,290341.000080109,"nup_noun","left","nup_verb","right","nup"
"82","38844","f3fa1f34-1524-4020-995e-ba49ee6cbd91","m",10,"verb","83-test-trial-event-10","2021-03-19",1920,2021-08-19 13:30:04,8.018,2021-08-19 13:35:15,2021-08-19 13:35:23,311586.999893188,319589.999914169,"dax_noun","right","dax_verb","left","dax"
"83","38844","f3fa1f34-1524-4020-995e-ba49ee6cbd91","m",11,"verb","91-test-trial-event-11","2021-03-19",1920,2021-08-19 13:30:04,8.03,2021-08-19 13:35:51,2021-08-19 13:35:59,347187.00003624,355188.999891281,"smick_noun","right","smick_verb","left","smick"
"84","38844","f3fa1f34-1524-4020-995e-ba49ee6cbd91","m",12,"verb","98-test-trial-event-12","2021-03-19",1920,2021-08-19 13:30:04,8.032,2021-08-19 13:36:20,2021-08-19 13:36:28,376572.999954224,384575.000047684,"vash_noun","right","vash_verb","left","vash"
